bookingId,airbnbHostId,listingId,amenitiesId,airbnbPropertyId,reviewId,checkInOutId,locationId,pricingId,occupancyRateLtm,numberOfBookingsLtm,numberOfBookingsLtmObservedMonth,countBlockedDaysLtm,instantBookEnabled,countReservationDaysLtm,countavailableDaysLtm,annualRevenueLtmUSD,annualRevenueLtmNative
LOSBOK493,344304935,LOSLIS493,LOSAMT493,43238861,LOSREV493,LOSCHK493,LOSLOC493,LOSPRC493,8,0,-3,334,TRUE,2,31,270,270
LOSBOK438,66454922,LOSLIS438,LOSAMT438,48547541,LOSREV438,LOSCHK438,LOSLOC438,LOSPRC438,65,47,44,22,TRUE,186,343,41264,41264
LOSBOK384,238865052,LOSLIS384,LOSAMT384,32613649,LOSREV384,LOSCHK384,LOSLOC384,LOSPRC384,58,5,2,157,FALSE,100,208,15721,15721
LOSBOK264,2435461,LOSLIS264,LOSAMT264,29333433,LOSREV264,LOSCHK264,LOSLOC264,LOSPRC264,85,15,12,190,FALSE,124,175,39450,39450
LOSBOK124,40618027,LOSLIS124,LOSAMT124,53263516,LOSREV124,LOSCHK124,LOSLOC124,LOSPRC124,100,0,3,365,TRUE,0,0,315,315
LOSBOK183,20577537,LOSLIS183,LOSAMT183,19332411,LOSREV183,LOSCHK183,LOSLOC183,LOSPRC183,100,45,42,112,FALSE,247,253,49927,49927
LOSBOK147,1794266,LOSLIS147,LOSAMT147,18136377,LOSREV147,LOSCHK147,LOSLOC147,LOSPRC147,92,37,27,141,FALSE,172,224,137362,137362
LOSBOK382,4626298,LOSLIS382,LOSAMT382,32792837,LOSREV382,LOSCHK382,LOSLOC382,LOSPRC382,83,30,20,87,FALSE,193,278,71230,71230
LOSBOK41,13870525,LOSLIS41,LOSAMT41,37058510,LOSREV41,LOSCHK41,LOSLOC41,LOSPRC41,78,48,45,57,FALSE,200,308,112173,112173
LOSBOK203,23458477,LOSLIS203,LOSAMT203,52389016,LOSREV203,LOSCHK203,LOSLOC203,LOSPRC203,43,6,3,271,FALSE,34,94,124905,124905
LOSBOK356,5703490,LOSLIS356,LOSAMT356,51566079,LOSREV356,LOSCHK356,LOSLOC356,LOSPRC356,44,2,-1,335,FALSE,11,30,2757,2757
LOSBOK163,7362787,LOSLIS163,LOSAMT163,6643091,LOSREV163,LOSCHK163,LOSLOC163,LOSPRC163,20,3,0,242,TRUE,21,123,3028,3028
LOSBOK78,12735502,LOSLIS78,LOSAMT78,34035301,LOSREV78,LOSCHK78,LOSLOC78,LOSPRC78,60,20,17,106,FALSE,129,259,64349,64349
LONBOK298,111436465,LONLIS298,LONAMT298,16890103,LONREV298,LONCHK298,LONLOC298,LONPRC298,51,0,-2,351,FALSE,6,14,393,310.5
LONBOK181,237274219,LONLIS181,LONAMT181,7.55544E+17,LONREV181,LONCHK181,LONLOC181,LONPRC181,67,11,9,356,FALSE,5,9,561,443.2
LONBOK37,448767922,LONLIS37,LONAMT37,8.47719E+17,LONREV37,LONCHK37,LONLOC37,LONPRC37,45,2,1,329,FALSE,13,36,3465,2737.3
LONBOK370,376619708,LONLIS370,LONAMT370,9.01348E+17,LONREV370,LONCHK370,LONLOC370,LONPRC370,93,0,-1,307,FALSE,45,58,11651,9204.3
LONBOK403,7439069,LONLIS403,LONAMT403,44042919,LONREV403,LONCHK403,LONLOC403,LONPRC403,100,0,-2,329,TRUE,35,36,4536,3583.4
LONBOK40,49001904,LONLIS40,LONAMT40,52871639,LONREV40,LONCHK40,LONLOC40,LONPRC40,59,33,32,188,FALSE,97,177,36845,29107.6
LONBOK466,99268099,LONLIS466,LONAMT466,8.64248E+17,LONREV466,LONCHK466,LONLOC466,LONPRC466,71,1,-1,348,FALSE,10,17,2221,1754.6
LONBOK290,6316701,LONLIS290,LONAMT290,37968539,LONREV290,LONCHK290,LONLOC290,LONPRC290,55,0,6,365,TRUE,0,0,526,415.5
LONBOK212,158536745,LONLIS212,LONAMT212,6.46405E+17,LONREV212,LONCHK212,LONLOC212,LONPRC212,77,10,5,298,FALSE,43,67,2941,2323.4
LONBOK245,22118737,LONLIS245,LONAMT245,4261633,LONREV245,LONCHK245,LONLOC245,LONPRC245,56,49,47,27,FALSE,157,338,41144,32503.8
LONBOK156,531004914,LONLIS156,LONAMT156,9.54806E+17,LONREV156,LONCHK156,LONLOC156,LONPRC156,54,4,3,327,FALSE,17,38,1560,1232.4
LONBOK373,490562412,LONLIS373,LONAMT373,7.76634E+17,LONREV373,LONCHK373,LONLOC373,LONPRC373,52,12,7,291,FALSE,32,74,8235,6505.7
LONBOK266,8086685,LONLIS266,LONAMT266,21466523,LONREV266,LONCHK266,LONLOC266,LONPRC266,57,4,-6,327,FALSE,18,38,1863,1471.8
LONBOK7,105564995,LONLIS7,LONAMT7,51547816,LONREV7,LONCHK7,LONLOC7,LONPRC7,48,0,-1,355,FALSE,4,10,3389,2677.3
LONBOK202,285238633,LONLIS202,LONAMT202,37733882,LONREV202,LONCHK202,LONLOC202,LONPRC202,29,7,-2,257,FALSE,26,108,16568,13088.7
LONBOK394,487564100,LONLIS394,LONAMT394,7.59419E+17,LONREV394,LONCHK394,LONLOC394,LONPRC394,44,15,11,185,FALSE,66,180,3881,3066
LONBOK374,269308503,LONLIS374,LONAMT374,8.56412E+17,LONREV374,LONCHK374,LONLOC374,LONPRC374,48,0,-1,355,FALSE,4,10,1920,1516.8
LONBOK118,473131585,LONLIS118,LONAMT118,6.99117E+17,LONREV118,LONCHK118,LONLOC118,LONPRC118,10,3,-1,340,FALSE,2,25,190,150.1
LONBOK104,11253126,LONLIS104,LONAMT104,5.91964E+17,LONREV104,LONCHK104,LONLOC104,LONPRC104,55,8,5,286,FALSE,36,79,7430,5869.7
LONBOK72,456246715,LONLIS72,LONAMT72,9.22481E+17,LONREV72,LONCHK72,LONLOC72,LONPRC72,81,0,0,336,FALSE,20,29,4332,3422.3
LONBOK121,14875410,LONLIS121,LONAMT121,8.15836E+17,LONREV121,LONCHK121,LONLOC121,LONPRC121,77,0,-1,309,FALSE,36,56,18585,14682.2
LONBOK142,1432477,LONLIS142,LONAMT142,9.1299E+17,LONREV142,LONCHK142,LONLOC142,LONPRC142,83,1,0,336,FALSE,20,29,6571,5191.1
LONBOK44,494479078,LONLIS44,LONAMT44,8.41946E+17,LONREV44,LONCHK44,LONLOC44,LONPRC44,100,10,10,320,FALSE,38,45,16605,13118
LONBOK200,437995684,LONLIS200,LONAMT200,54047086,LONREV200,LONCHK200,LONLOC200,LONPRC200,40,0,9,362,TRUE,1,3,204,161.2
LONBOK189,407070052,LONLIS189,LONAMT189,50404723,LONREV189,LONCHK189,LONLOC189,LONPRC189,100,14,9,243,TRUE,101,122,15965,12612.4
LONBOK251,33889201,LONLIS251,LONAMT251,10894962,LONREV251,LONCHK251,LONLOC251,LONPRC251,30,0,3,365,FALSE,0,0,1455,1149.5
LONBOK140,481546766,LONLIS140,LONAMT140,7.61302E+17,LONREV140,LONCHK140,LONLOC140,LONPRC140,64,26,25,193,FALSE,91,172,16635,13141.7
LONBOK423,80632481,LONLIS423,LONAMT423,22876605,LONREV423,LONCHK423,LONLOC423,LONPRC423,21,0,7,365,FALSE,0,0,1905,1505
LONBOK262,118026669,LONLIS262,LONAMT262,17440876,LONREV262,LONCHK262,LONLOC262,LONPRC262,24,0,5,365,TRUE,0,0,149,117.7
LONBOK339,137265111,LONLIS339,LONAMT339,6.97922E+17,LONREV339,LONCHK339,LONLOC339,LONPRC339,57,3,0,279,FALSE,41,86,7304,5770.2
