airbnbHostId,hostListingCount,superhost
388088685,1,
117185679,21,
240900846,1,
43638731,2,
230016718,50,
28398362,1,
10286258,2,
17893425,2,
130590240,1,
266815035,1,
72567217,1,
182673908,1,
364569772,2,
122946252,2,
4955218,23,
98993071,5,
34080079,1,
68006780,1,
13106267,1,
318105286,1,
9576992,1,
30563603,1,
355582063,1,
27191798,1,
71200361,1,
7171036,1,
23316307,1,
25890737,2,
101537031,140,
21782360,1,
10832832,36,
13235796,1,
430751743,56,
2911509,2,
212707702,4,
70703011,1,
55050793,2,
92251416,5,
211786,1,
346925775,1,
62702617,2,
29001604,2,
22929317,24,
412806386,2,
224169945,1,
118910959,1,
9862811,4,
334717859,1,
348745371,51,
13061520,1,
23118355,56,
3907271,3,
32047340,5,
10040534,2,
19411220,4,
304857670,2,
13716757,1,
106980640,20,
2065820,1,
47288915,0,
169810777,1,
132362306,3,
101537031,140,
377251470,1,
259441045,37,
6376798,1,
5703490,20,
108058155,0,
57161,32,
57161,20,
198968102,1,
222265639,4,
163699318,1,
304175179,5,
6780040,1,
25391682,3,
13818964,1,
346939301,0,
4981975,0,
236902027,1,
4254315,1,
4955218,23,
23118355,56,
161781258,1,
107382,1,
2679345,2,
21657821,1,
624879,4,
32438452,1,
15572056,7,
6529781,20,
27498737,1,
4626298,4,
2384776,2,
238865052,1,
6457603,1,
10824606,2,
9448345,1,
2585838,1,
14711333,2,
79151985,1,
23118355,56,
388708842,0,
181675272,1,
10116001,2,
94059586,1,
4714374,1,
48709189,2,
180105470,1,
866477,3,
8224625,1,
3844352,2,
35394341,1,
2477978,1,
2287711,2,
21524802,1,
7356043,32,
25326961,51,
5149517,1,
187889410,3,
18895034,1,
231345302,2,
156240567,0,
208610860,70,
48005494,1503,
3851042,2,
70074537,1,
8763731,0,
179394932,2,
1381289,166,
1111042,5,
1381289,179,
383790851,28,
79892627,4,
329994468,0,
500992749,0,
266606258,4,
9668663,10,
14936368,0,
4441750,0,
246099234,2,
16310225,5,
8398671,54,
4510013,0,
17645569,0,
4151836,4,
435138895,0,
210732941,1,
66454922,2,
7635095,4,
8206200,8,
389718318,0,
45675130,1,
39826194,6,
24271549,0,
46190515,0,
205539927,2,
261428804,0,
491587138,0,
52333458,0,
434988946,0,
11200286,2,
5272549,4,
2893489,7,
27842033,7,
21852120,4,
225974242,3,
377558714,0,
56011641,2,
26328447,12,
33249323,60,
369731951,23,
73326371,2,
210321294,32,
400141539,2,
469817021,0,
4948789,44,
412592130,0,
430420118,8,
257045394,0,
9197998,5,
51257061,3,
184951642,1,
221722451,1,
230057655,4,
17939609,1,
26115642,1,
13856777,8,
16285164,2,
82979950,0,
3324376,137,
71522208,10,
73236480,1,
113614913,4,
430009231,3,
434419288,0,
56401419,0,
13231841,2,
26328447,12,
8763731,18,
101642970,20,
366965961,0,
514419470,0,
344304935,1,
435657857,1,
14936368,0,
50592072,4,
82417843,0,
25551648,83,
108490451,1,
258783968,0,
431468197,0,
39843654,0,
286627995,1,
12122942,1,
503659931,0,
290019316,0,
105564995,125,
119798560,1,
17316140,2,
237156066,4,
1444493,14,
505047355,0,
207279727,0,
257383261,2,
132059835,4,
509867317,0,
156760245,3,
115304880,3,
79460978,0,
449499368,0,
1022500,4,
264234559,0,
124969029,21,
330339210,0,
201720555,480,
4350839,0,
184565563,0,
53082520,1,
12478046,1,
50832554,1,
181527412,0,
112868447,37,
31163989,0,
350222367,14,
112868447,0,
285728582,0,
448767922,0,
228928499,149,
431570310,0,
49001904,0,
182259497,0,
20124447,6,
455444395,0,
494479078,0,
89403275,0,
490795350,0,
9991442,0,
444163551,0,
11570657,0,
491814778,0,
20547620,1,
118391150,0,
16563452,1,
329080044,0,
186018340,0,
27572615,0,
3687903,0,
166728372,0,
497719474,0,
112868447,0,
22909882,0,
1432477,0,
492019818,0,
469576572,0,
206434678,1,
515331145,0,
110451998,1,
37535648,0,
3936839,0,
507875760,0,
138846204,0,
456246715,0,
454597741,0,
512328140,0,
304285456,1,
21958567,0,
79460978,0,
170334560,0,
1967808,49,
1432477,192,
273963876,64,
27572615,0,
340871108,1,
71421122,1,
445013518,0,
125822538,2,
90938214,1,
98421213,0,
431570310,0,
48165024,144,
461327353,0,
495352979,0,
44049207,0,
491806250,0,
20270543,1,
243261,0,
13712856,0,
143795093,0,
284914144,0,
370000875,0,
67945063,0,
369624884,0,
60480188,1,
11253126,0,
97004315,0,
57490087,0,
47654335,0,
490303423,0,
268545894,5,
439156774,0,
15860504,2,
193280,2,
497719474,0,
112868447,37,
482330351,0,
273963876,64,
367968865,3,
473131585,0,
139839929,2,
478525610,0,
14875410,0,
315868211,0,
159838588,3,
42153689,0,
491579527,0,
440896362,0,
405872207,0,
503694693,0,
300998095,0,
247586027,6,
7841417,0,
47046390,4,
198139695,8,
269308503,82,
4350839,0,
30492360,2,
11240153,1,
32750341,0,
48165024,144,
481546766,0,
370754832,0,
1432477,0,
60480881,2,
523443187,0,
22621550,0,
72453310,1,
117247747,6,
457597235,0,
457409512,0,
40957256,0,
445273,6,
181527412,0,
390525308,0,
472848293,0,
523679454,0,
531004914,0,
142621635,2,
19970435,8,
329054856,0,
68861069,0,
189917501,0,
46535012,0,
497719474,0,
14629036,0,
42991771,6,
1967808,49,
50763453,0,
64591920,0,
387267845,0,
213498625,1,
48165024,144,
32423116,0,
448767922,0,
192253183,0,
44324490,0,
35693681,6,
203207522,6,
20569886,1,
488051145,0,
226573050,0,
237274219,0,
426486213,0,
375009288,0,
504594505,0,
14269762,1,
64963526,6,
47339242,0,
482391180,0,
407070052,11,
357658888,0,
364841207,1,
34673665,0,
863821,2,
471437658,0,
465903718,0,
497719474,0,
27572615,130,
394282577,0,
496259464,0,
437995684,1,
48165024,144,
285238633,1,
206434678,0,
119438306,1,
286125026,0,
454093749,0,
32440765,0,
375629806,0,
143875580,0,
404027937,0,
25423352,57,
158536745,0,
44089726,0,
490795350,0,
160571272,0,
4280433,0,
494782954,0,
11048420,0,
22977856,0,
50638960,1,
15307811,0,
521772303,0,
189917501,0,
20757981,0,
471088,2,
14875410,0,
334131743,1,
193872528,2,
24438156,1,
228928499,149,
224866971,147,
36697071,0,
41874172,0,
203248950,3,
393383127,0,
1432477,0,
361961729,0,
441295438,0,
5036463,5,
96348104,0,
266523781,0,
17745704,0,
404027937,1,
21867370,25,
22118737,1,
260174990,1,
39349956,0,
211281147,0,
9588476,0,
266032450,1,
33889201,516,
187648693,1,
512828426,0,
14875410,45,
449589956,0,
57726461,1,
61495373,0,
117177624,1,
104925869,0,
334242741,6,
493590505,0,
118026669,1,
359849455,0,
430389851,0,
180083574,0,
8086685,1,
510793532,0,
373256510,27,
72921587,0,
299222427,0,
461928013,0,
327357711,0,
467045896,0,
3771741,0,
8625167,0,
8855535,0,
285728582,0,
448767922,0,
455151385,0,
2125620,0,
20737807,0,
2370522,0,
489706842,0,
137813130,2,
6143795,0,
25119063,1,
475001630,0,
331321483,0,
500312499,0,
6316701,0,
137977628,0,
110674023,2,
960024,0,
79621566,2,
7646501,0,
5025873,0,
60103501,0,
111436465,1,
336282826,0,
416953285,0,
403820523,1,
175458210,0,
77447041,1,
458587430,0,
21475494,7,
64256849,2,
448767922,0,
36401039,0,
40411845,0,
20297348,6,
251272739,0,
100867308,0,
199931761,0,
412386648,0,
8581542,0,
54383931,0,
263909734,0,
299222427,0,
17783564,0,
498193136,0,
115634761,1,
30083414,3,
20723496,1,
17000638,0,
237156066,4,
56974784,3,
157242965,1,
459020032,0,
325614755,0,
62006804,1,
448767922,0,
108818689,1,
161543416,1,
89781022,0,
183577310,1,
459336947,0,
29954318,3,
504335843,0,
137265111,0,
81130615,3,
156454596,2,
143281539,0,
427195056,0,
