checkInOutId,checkoutTime,minimumStay,checkinStartTime,checkinEndTime
LOSCHK387,11:00,1.0,15:00,22:00
LOSCHK388,11:00,2.0,16:00,22:00
LOSCHK389,11:00,1.0,15:00,23:00
LOSCHK390,11:00,30.0,15:00,21:00
LOSCHK391,11:00,3.0,16:00,22:00
LOSCHK392,10:00,1.0,16:00,22:00
LOSCHK393,11:00,30.0,15:00,22:00
LOSCHK394,11:00,1.0,16:00,22:00
LOSCHK395,10:00,2.0,17:00,02:00
LOSCHK396,11:00,30.0,14:00,22:00
LOSCHK397,12:00,2.0,16:00,01:00
LOSCHK398,12:00,30.0,16:00,22:00
LOSCHK399,11:00,2.0,15:00,22:00
LOSCHK400,11:00,2.0,14:00,22:00
LOSCHK401,11:00,2.0,15:00,02:00
LOSCHK402,11:00,2.0,15:00,22:00
LOSCHK403,11:00,30.0,15:00,22:00
LOSCHK404,11:00,30.0,15:00,22:00
LOSCHK405,11:00,30.0,14:00,21:00
LOSCHK406,10:00,30.0,15:00,22:00
LOSCHK407,10:00,30.0,15:00,22:00
LOSCHK408,10:00,30.0,15:00,22:00
LOSCHK409,11:00,2.0,16:00,21:00
LOSCHK410,11:00,30.0,15:00,22:00
LOSCHK411,11:00,31.0,15:00,22:00
LOSCHK412,10:00,1.0,16:00,22:00
LOSCHK413,11:00,31.0,15:00,22:00
LOSCHK414,11:00,30.0,15:00,02:00
LOSCHK415,11:00,30.0,15:00,22:00
LOSCHK416,11:00,2.0,15:00,22:00
LOSCHK417,11:00,30.0,15:00,22:00
LOSCHK418,10:00,30.0,16:00,22:00
LOSCHK419,11:00,30.0,16:00,22:00
LOSCHK420,11:00,31.0,15:00,22:00
LOSCHK421,11:00,31.0,15:00,22:00
LOSCHK422,11:00,1.0,16:00,00:00
LOSCHK423,10:00,30.0,15:00,22:00
LOSCHK424,11:00,30.0,16:00,22:00
LOSCHK425,11:00,1.0,17:00,22:00
LOSCHK426,12:00,1.0,15:00,22:00
LOSCHK427,10:00,31.0,16:00,22:00
LOSCHK428,10:00,30.0,15:00,22:00
LOSCHK429,11:00,30.0,09:00,14:00
LOSCHK430,11:00,30.0,15:00,22:00
LOSCHK431,10:00,30.0,16:00,22:00
LOSCHK432,11:00,4.0,16:00,22:00
LOSCHK433,10:00,30.0,15:00,22:00
LOSCHK434,11:00,2.0,15:00,22:00
LOSCHK435,10:00,1.0,15:00,22:00
LOSCHK436,11:00,2.0,16:00,21:00
LOSCHK437,11:00,30.0,15:00,21:00
LOSCHK438,12:00,2.0,15:00,20:00
LOSCHK439,12:00,31.0,18:00,21:00
LOSCHK440,11:00,31.0,16:00,22:00
LOSCHK441,10:00,2.0,16:00,22:00
LOSCHK442,11:00,3.0,15:00,22:00
LOSCHK443,11:00,1.0,15:00,22:00
LOSCHK444,11:00,1.0,15:00,22:00
LOSCHK445,14:00,30.0,00:00,00:00
LOSCHK446,13:00,30.0,00:00,00:00
LOSCHK447,11:00,2.0,15:00,22:00
LOSCHK448,11:00,1.0,16:00,02:00
LOSCHK449,11:00,3.0,16:00,22:00
LOSCHK450,11:00,4.0,16:00,22:00
LOSCHK451,12:00,30.0,00:00,00:00
LOSCHK452,10:00,29.0,15:00,22:00
LOSCHK453,10:00,2.0,16:00,23:00
LOSCHK454,11:00,31.0,15:00,22:00
LOSCHK455,11:00,1.0,15:00,22:00
LOSCHK456,11:00,30.0,16:00,22:00
LOSCHK457,11:00,1.0,16:00,22:00
LOSCHK458,12:00,30.0,17:00,23:00
LOSCHK459,11:00,1.0,16:00,22:00
LOSCHK460,10:00,31.0,15:00,22:00
LOSCHK461,11:00,4.0,15:00,22:00
LOSCHK462,11:00,30.0,15:00,22:00
LOSCHK463,11:00,2.0,16:00,22:00
LOSCHK464,11:00,2.0,16:00,21:00
LOSCHK465,11:00,3.0,15:00,22:00
LOSCHK466,11:00,30.0,15:00,22:00
LOSCHK467,11:00,3.0,15:00,22:00
LOSCHK468,10:00,31.0,16:00,21:00
LOSCHK469,11:00,3.0,16:00,22:00
LOSCHK470,11:00,30.0,15:00,22:00
LOSCHK471,11:00,30.0,12:00,18:00
LOSCHK472,12:00,30.0,15:00,22:00
LOSCHK473,12:00,30.0,15:00,20:00
LOSCHK474,11:00,30.0,15:00,22:00
LOSCHK475,12:00,90.0,15:00,22:00
LOSCHK476,11:00,2.0,15:00,22:00
LOSCHK477,11:00,1.0,16:00,20:00
LOSCHK478,11:00,30.0,15:00,22:00
LOSCHK479,11:00,1.0,16:00,23:00
LOSCHK480,11:00,2.0,16:00,22:00
LOSCHK481,11:00,2.0,16:00,22:00
LOSCHK482,11:00,31.0,16:00,22:00
LOSCHK483,11:00,2.0,14:00,22:00
LOSCHK484,11:00,30.0,16:00,22:00
LOSCHK485,10:00,1.0,16:00,22:00
LOSCHK486,10:00,1.0,16:00,22:00
LOSCHK487,11:00,2.0,15:00,00:00
LOSCHK488,11:00,1.0,16:00,22:00
LOSCHK489,11:00,30.0,15:00,22:00
LOSCHK490,11:00,30.0,16:00,22:00
LOSCHK491,10:00,1.0,16:00,22:00
LOSCHK492,11:00,1.0,15:00,22:00
LOSCHK493,10:00,31.0,15:00,22:00
LOSCHK494,11:00,1.0,15:00,22:00
LOSCHK495,10:00,30.0,15:00,22:00
LOSCHK496,11:00,30.0,14:00,22:00
LOSCHK497,10:00,3.0,16:00,22:00
LOSCHK498,11:00,31.0,16:00,23:00
LOSCHK499,11:00,31.0,15:00,22:00
LOSCHK500,11:00,4.0,15:00,01:00
LONCHK1,11:00,1.0,15:00,22:00
LONCHK2,10:00,30.0,15:00,22:00
LONCHK3,11:00,1.0,15:00,22:00
LONCHK4,11:00,3.0,15:00,22:00
LONCHK5,11:00,3.0,15:00,22:00
LONCHK6,10:00,3.0,17:00,20:00
LONCHK7,11:00,4.0,16:00,20:00
LONCHK8,12:00,4.0,00:00,00:00
LONCHK9,12:00,2.0,15:00,23:00
LONCHK10,10:00,1.0,15:00,22:00
LONCHK11,11:00,4.0,00:00,00:00
LONCHK12,10:00,1.0,15:00,22:00
LONCHK13,10:00,1.0,14:00,16:00
LONCHK14,11:00,3.0,15:00,21:00
LONCHK15,11:00,2.0,15:00,18:00
LONCHK16,10:00,2.0,15:00,22:00
LONCHK17,11:00,3.0,15:00,22:00
LONCHK18,11:00,4.0,12:00,18:00
LONCHK19,11:00,5.0,15:00,22:00
LONCHK20,11:00,1.0,15:00,22:00
LONCHK21,11:00,3.0,15:00,22:00
LONCHK22,11:00,20.0,13:00,22:00
LONCHK23,11:00,7.0,15:00,22:00
LONCHK24,11:00,3.0,15:00,21:00
LONCHK25,10:00,1.0,16:00,22:00
LONCHK26,11:00,5.0,12:00,22:00
LONCHK27,12:00,2.0,15:00,23:00
LONCHK28,11:00,2.0,10:00,22:00
LONCHK29,12:00,4.0,14:00,22:00
LONCHK30,11:00,30.0,14:00,22:00
LONCHK31,11:00,3.0,15:00,22:00
LONCHK32,10:00,27.0,15:00,20:00
LONCHK33,11:00,3.0,15:00,22:00
LONCHK34,10:00,7.0,15:00,22:00
LONCHK35,10:00,28.0,15:00,22:00
LONCHK36,11:00,7.0,15:00,22:00
LONCHK37,10:00,180.0,15:00,22:00
LONCHK38,10:00,4.0,15:00,22:00
LONCHK39,10:00,3.0,17:00,22:00
LONCHK40,11:00,2.0,15:00,22:00
LONCHK41,10:00,5.0,15:00,22:00
LONCHK42,11:00,4.0,15:00,22:00
LONCHK43,10:00,2.0,15:00,22:00
LONCHK44,11:00,1.0,15:00,22:00
LONCHK45,13:00,2.0,00:00,00:00
LONCHK46,11:00,2.0,15:00,22:00
LONCHK47,12:00,10.0,00:00,00:00
LONCHK48,11:00,2.0,15:00,22:00
LONCHK49,10:00,2.0,15:00,22:00
LONCHK50,11:00,1.0,15:00,22:00
LONCHK51,10:00,3.0,16:00,22:00
LONCHK52,12:00,2.0,15:00,22:00
LONCHK53,10:00,14.0,13:00,22:00
